,text,withheld_in_countries,hashtags,lang,possibly_sensitive,verified_account,followers_count,location,withheld_anywhere,popularity_score
788,แย่มาก แย่ที่สุด ไม่เคยเจออะไรแล้วรู้สึกแย่ขนาดนี้มาก่อน,[],[],th,0.0,False,2200,,False,0.018618180743344835
793,ใช่เรื่องเล่นเหรออีสัส,[],[],th,0.0,False,9509,,False,0.015575163383043806
895, ถ้าให้ฟรีเอาป่ะ ,['XX'],[],th,0.0,False,1,,True,3.367911455721799e-08
896, ถ้าให้ฟรีเอาป่ะ ,['XX'],[],th,0.0,False,1,,True,3.367911455721799e-08
984," มาค่ะชอบอีกแบบพี่
แอดม่vvoo232323
มีกบุ่มเย็ดโชวด้วยคะสนทักมาถามคะ ",['XX'],[],th,0.0,False,14,,True,1.1184591362348001e-05
985," มาค่ะชอบอีกแบบพี่
แอดม่vvoo232323
มีกบุ่มเย็ดโชวด้วยคะสนทักมาถามคะ ",['XX'],[],th,0.0,False,14,,True,1.1184591362348001e-05
3971, สุดท้ายก็ต้อง..จบแบบเดิมทุกที5555 ,['XX'],[],th,0.0,False,540,,True,0.012887213263133968
3972, สุดท้ายก็ต้อง..จบแบบเดิมทุกที5555 ,['XX'],[],th,0.0,False,540,,True,0.012887213263133968
10532, DUU-DU-DUU-DU  🌶🌶🌶🌶🌶🌶🌶  คือบับกรี๊ดดดดดบ้านแตก  #THESHOWToday #BLACKPINK_THESHOW ,['XY'],"['THESHOWToday', 'BLACKPINK_THESHOW']",th,0.0,False,5,,True,0.0011530007258827653
10533, DUU-DU-DUU-DU  🌶🌶🌶🌶🌶🌶🌶  คือบับกรี๊ดดดดดบ้านแตก  #THESHOWToday #BLACKPINK_THESHOW ,['XY'],"['THESHOWToday', 'BLACKPINK_THESHOW']",th,0.0,False,5,,True,0.0011530007258827653
10901, มากับผัวเด็ก เค้าว่าเซ็กส์จัดทุกคน สักทีเถอะว่ะ ไปต่อกันที่  ,['XX'],[],th,0.0,False,139,,True,0.0002529113864507607
10902, มากับผัวเด็ก เค้าว่าเซ็กส์จัดทุกคน สักทีเถอะว่ะ ไปต่อกันที่  ,['XX'],[],th,0.0,False,139,,True,0.0002529113864507607
11894, ว่างเกิ๊น   ,['XX'],[],th,0.0,False,303,,True,0.002983216162070525
11895, ว่างเกิ๊น   ,['XX'],[],th,0.0,False,303,,True,0.002983216162070525
12712, เจนแร็พ Solo เป็นอิงค์คือดีมากกกกกกกกกก #BLACKPINK_THESHOW #JENNIE ,['XY'],"['BLACKPINK_THESHOW', 'JENNIE']",th,0.0,False,1,,True,0.0005879468122055484
12713, เจนแร็พ Solo เป็นอิงค์คือดีมากกกกกกกกกก #BLACKPINK_THESHOW #JENNIE ,['XY'],"['BLACKPINK_THESHOW', 'JENNIE']",th,0.0,False,1,,True,0.0005879468122055484
12777," แอบตั้งกล้องส่องพฤติกรรม🤣
หลานชายฝั่งเมีย อายุ16 ที่ ตจว. 
นานๆกลับมาเยี่ยมทีจัดให้หลานมันดู🤩
ถ้ามันขอเข้ามาจะทำไงวะ555…",['XX'],[],th,0.0,False,152,,True,8.664317986798124e-05
12778," แอบตั้งกล้องส่องพฤติกรรม🤣
หลานชายฝั่งเมีย อายุ16 ที่ ตจว. 
นานๆกลับมาเยี่ยมทีจัดให้หลานมันดู🤩
ถ้ามันขอเข้ามาจะทำไงวะ555…",['XX'],[],th,0.0,False,152,,True,8.664317986798124e-05
12800," ลูกสาวแม่ 💗💗💗💗
#THESHOWToday
#BLACKPINK_THESHOW
@BLACKPINK ",['XY'],"['THESHOWToday', 'BLACKPINK_THESHOW']",th,0.0,False,136,,True,0.002594533681889961
12801," ลูกสาวแม่ 💗💗💗💗
#THESHOWToday
#BLACKPINK_THESHOW
@BLACKPINK ",['XY'],"['THESHOWToday', 'BLACKPINK_THESHOW']",th,0.0,False,136,,True,0.002594533681889961
12808," Crazy over you ทำฉันตายไปหลายรอบมาก
#THESHOWToday
#BLACKPINK_THESHOW ",['XY'],"['THESHOWToday', 'BLACKPINK_THESHOW']",th,0.0,False,0,,True,1.4632504645820225e-05
12809," Crazy over you ทำฉันตายไปหลายรอบมาก
#THESHOWToday
#BLACKPINK_THESHOW ",['XY'],"['THESHOWToday', 'BLACKPINK_THESHOW']",th,0.0,False,0,,True,1.4632504645820225e-05
13224, มากับผัวเด็ก เค้าว่าเซ็กส์จัดทุกคน สักทีเถอะว่ะ ไปต่อกันที่  ,['XX'],[],th,0.0,False,0,,True,1.0451789032728731e-06
13225, มากับผัวเด็ก เค้าว่าเซ็กส์จัดทุกคน สักทีเถอะว่ะ ไปต่อกันที่  ,['XX'],[],th,0.0,False,0,,True,1.0451789032728731e-06
15203, มากับผัวเด็ก เค้าว่าเซ็กส์จัดทุกคน สักทีเถอะว่ะ ไปต่อกันที่  ,['XX'],[],th,0.0,False,4,,True,4.716776710550817e-05
15204, มากับผัวเด็ก เค้าว่าเซ็กส์จัดทุกคน สักทีเถอะว่ะ ไปต่อกันที่  ,['XX'],[],th,0.0,False,4,,True,4.716776710550817e-05
